Label,GLRLM0,GLRLM1,GLRLM2,GLRLM3,GLRLM4,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,correlation_0,correlation_45,correlation_90,correlation_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,contrast_0,contrast_45,contrast_90,contrast_135,ASM_0,ASM_45,ASM_90,ASM_135,energy_0,energy_45,energy_90,energy_135
Healthy,1.858,197.758,1325.999,14856.105,26.788,20.68275418,21.12950139,21.02895753,19.93559557,0.091815092,0.073318817,0.05529268,0.151101909,0.049700704,0.046734854,0.043543163,0.04913322,686.3288288,718.6045706,724.2567568,648.615651,0.000556955,0.000592527,0.000562338,0.000587731,0.023599898,0.024341884,0.023713675,0.024243173
Healthy,2.025,178.594,1209.055,18741.518,29.344,37.13127413,30.03531856,26.56048906,34.32548476,0.060982575,0.321365493,0.467674839,0.126657887,0.029486962,0.034501195,0.039169105,0.035599152,2206.225225,1563.75,1161.941441,2013.83518,0.000396287,0.00042731,0.000409331,0.000425632,0.01990696,0.020671484,0.02023193,0.020630844
Healthy,1.808,658.003,2076.151,8790.172,17.197,15.94015444,19.25069252,15.89253539,12.72299169,0.470765962,0.272267011,0.497191497,0.649037477,0.071366806,0.066939753,0.075707946,0.088097362,480.8963964,685.7313019,473.543758,333.3767313,0.000633769,0.000602838,0.000625902,0.000701153,0.025174778,0.024552767,0.025018027,0.0264793
Healthy,1.692,733.415,2225.635,7330.607,16.092,14.15315315,15.2666205,16.02960103,16.17243767,0.248953221,0.151943031,0.034582408,0.04893765,0.08472743,0.07812073,0.067699721,0.068744839,372.3500644,412.5768698,462.8043758,454.7569252,0.000782222,0.000747673,0.000767107,0.000778366,0.027968229,0.027343611,0.027696704,0.02789922
Healthy,1.767,396.062,1644.964,10945.031,21.731,12.54054054,12.50138504,12.36100386,13.63781163,0.286362698,0.283950476,0.245652393,0.138383625,0.076990239,0.077559399,0.087418034,0.072841484,250.0540541,250.6703601,262.2168597,302.549169,0.00086649,0.00086709,0.000837917,0.000863253,0.029436198,0.029446387,0.028946802,0.029381168
Healthy,1.855,352.417,1546.557,12560.348,23.013,20.96332046,20.11911357,17.12998713,17.70775623,0.02466857,0.022311143,0.264681452,0.223251033,0.056421346,0.070217489,0.069416067,0.061178088,728.3172458,691.6218837,528.5083655,537.367036,0.000601056,0.000631613,0.000625488,0.000661108,0.024516446,0.025131921,0.02500975,0.02571202
Healthy,1.845,215.997,1395.583,13965.982,25.504,13.24839125,12.90720222,13.68339768,13.97299169,0.16092792,0.169161879,0.058715196,0.068427194,0.078695428,0.078729359,0.074917224,0.067415647,289.1608752,282.0720222,312.1261261,314.2458449,0.000843094,0.000876681,0.00083916,0.000857738,0.029036073,0.029608807,0.028968252,0.029287161
Healthy,1.588,567.556,2062.68,7179.365,17.316,20.1988417,19.99030471,18.74774775,19.19113573,0.09935212,0.136078561,0.213706854,0.162729758,0.059357642,0.052947174,0.066829546,0.06193194,697.3404118,679.7631579,623.8056628,649.6828255,0.000618655,0.000677654,0.000650747,0.000656792,0.024872777,0.026031781,0.025509749,0.025627947
Healthy,1.881,201.82,1380.744,14389.393,25.728,21.58751609,19.35180055,18.27284427,19.97022161,0.280206127,0.382459842,0.509752183,0.398010847,0.051789929,0.062630832,0.054241474,0.04603733,781.9157014,657.533241,536.3320463,647.8400277,0.000495255,0.000538094,0.000524242,0.000525385,0.022254333,0.023196862,0.022896328,0.022921287
Healthy,1.61,697.682,2297.322,6487.44,15.571,20.4015444,18.22645429,15.56499356,22.02216066,0.481514396,0.538435931,0.684197922,0.414064872,0.059901142,0.064424447,0.068018954,0.052224147,717.7747748,614.6253463,436.1853282,796.7686981,0.000550951,0.000569267,0.000553021,0.000557757,0.023472342,0.023859326,0.023516405,0.023616888
Healthy,1.647,691.996,2263.53,6889.126,15.798,11.74453024,13.08033241,10.55984556,9.157202216,0.242082647,0.053480257,0.31779952,0.470496404,0.08284299,0.078726668,0.095752934,0.120282854,234.1975547,283.5277008,197.4298584,155.2666205,0.000900031,0.000903778,0.000948066,0.001069714,0.030000522,0.0300629,0.030790682,0.032706489
Healthy,1.573,1248.83,2784.121,5120.874,12.951,14.66666667,11.56301939,12.13513514,16.51939058,0.13693886,0.449820793,0.295720769,-0.078361809,0.062545014,0.089940965,0.105180983,0.062913851,366.3153153,240.3898892,301.0643501,464.4362881,0.00089382,0.001070674,0.001054074,0.000895385,0.029896821,0.032721149,0.032466505,0.029922989
Healthy,1.778,467.183,1852.867,9574.263,19.231,14.55148005,14.76315789,14.0045045,12.67105263,0.038622798,0.01942813,0.109511523,0.240785443,0.069904732,0.076971284,0.081154048,0.08884003,398.0096525,396.1468144,364.7303732,315.2555402,0.000848477,0.000849585,0.000811208,0.000933272,0.029128624,0.029147639,0.028481719,0.030549508
