,GLRLM2,GLRLM4,correlation_90,correlation_135,homogeneity_90,ASM_45,ASM_90,Label
0,1325.999,26.788,0.05529268,0.151101909,0.043543163,0.000592527,0.000562338,1
1,1209.055,29.344,0.467674839,0.126657887,0.039169105,0.00042731,0.000409331,1
2,2076.151,17.197,0.497191497,0.649037477,0.075707946,0.000602838,0.000625902,1
3,2225.635,16.092,0.034582408,0.04893765,0.067699721,0.000747673,0.000767107,1
4,1644.964,21.731,0.245652393,0.138383625,0.087418034,0.00086709,0.000837917,1
5,1546.557,23.013,0.264681452,0.223251033,0.069416067,0.000631613,0.000625488,1
6,1395.583,25.504,0.058715196,0.068427194,0.074917224,0.000876681,0.00083916,1
7,2062.68,17.316,0.213706854,0.162729758,0.066829546,0.000677654,0.000650747,1
8,1380.744,25.728,0.509752183,0.398010847,0.054241474,0.000538094,0.000524242,1
9,2297.322,15.571,0.684197922,0.414064872,0.068018954,0.000569267,0.000553021,1
10,2263.53,15.798,0.31779952,0.470496404,0.095752934,0.000903778,0.000948066,1
11,2784.121,12.951,0.295720769,-0.078361809,0.105180983,0.001070674,0.001054074,1
12,1852.867,19.231,0.109511523,0.240785443,0.081154048,0.000849585,0.000811208,1
13,1094.114,32.394,0.124703501,-0.153983131,0.031017449,0.000435703,0.000408917,1
14,1818.675,19.561,0.437008824,0.376870917,0.047046312,0.000527783,0.000509127,1
15,1850.348,19.25,0.801055498,0.493332708,0.092170936,0.000675735,0.000710377,1
16,1447.436,24.572,0.109720218,0.132492595,0.03568954,0.000471672,0.000462128,1
17,1802.407,19.816,0.485185945,0.447759878,0.098234866,0.000862534,0.00086504,1
18,999.971,35.39,0.338557777,0.27947677,0.029960319,0.00041604,0.00040167,1
19,1534.331,23.142,0.336141365,0.200738039,0.047857503,0.000466396,0.000443287,1
20,1359.248,26.074,0.201782398,-0.020530398,0.058779845,0.000533059,0.000526726,1
21,1966.805,18.079,0.199252928,0.317902471,0.035155868,0.000461121,0.00043252,1
22,1825.324,19.575,0.51841801,0.36873443,0.078479406,0.000819851,0.000747231,1
23,2019.526,17.681,0.129610488,-0.0146618,0.088637897,0.001148846,0.001135236,1
24,1721.039,20.71,0.305527357,0.48377975,0.039818463,0.000459203,0.000466476,1
25,2175.12,16.463,0.221014405,-0.007857924,0.063252097,0.000754387,0.000674765,1
26,1622.209,21.942,0.71576025,0.487603906,0.067493016,0.000552722,0.000520722,1
27,1353.795,26.209,0.303367216,0.253872471,0.042741357,0.000464238,0.000449291,1
28,1090.197,32.45,0.249760894,0.160052536,0.027000171,0.000421076,0.0003996,1
29,1565.569,22.673,0.333641418,0.348065904,0.039158184,0.000489177,0.000482211,1
30,1255.68,28.276,0.337952209,0.255520365,0.057302774,0.000550564,0.000543911,1
31,1526.996,23.407,0.128652132,0.057364356,0.061152341,0.000782683,0.000721971,1
32,1042.669,34.064,0.12830225,-0.018050707,0.032367504,0.000453448,0.000455295,1
33,1283.465,27.636,0.475621467,0.172637396,0.051478191,0.000457764,0.000453018,1
34,1581.574,22.432,0.331917189,0.302843253,0.040299288,0.000469274,0.000451154,1
35,1424.285,24.91,0.500759441,0.388139837,0.047667154,0.000522987,0.000465648,1
36,1382.886,25.651,0.100872988,0.084757626,0.044144433,0.000515314,0.000510163,1
37,2090.288,16.966,0.147682586,0.251093072,0.065038205,0.000604037,0.00060499,1
38,1297.415,27.276,0.050127149,0.015389092,0.043274931,0.000549365,0.000542048,1
39,1702.624,21.118,0.071808992,-0.1475947,0.038237808,0.000467595,0.000413472,1
40,1316.912,26.997,0.25910979,0.272467756,0.04381121,0.000469514,0.000465234,1
41,1879.334,19.011,0.141304244,0.2665545,0.076033021,0.000665184,0.000692157,1
42,1787.033,20.009,0.332792086,0.226359848,0.080255609,0.000629455,0.000682632,1
