,GLRLM0,GLRLM1,GLRLM4,correlation_45,ASM_0,energy_90,Label
0,1.858,197.758,26.788,0.073318817,0.000556955,0.023713675,1
1,2.025,178.594,29.344,0.321365493,0.000396287,0.02023193,1
2,1.808,658.003,17.197,0.272267011,0.000633769,0.025018027,1
3,1.692,733.415,16.092,0.151943031,0.000782222,0.027696704,1
4,1.767,396.062,21.731,0.283950476,0.00086649,0.028946802,1
5,1.855,352.417,23.013,0.022311143,0.000601056,0.02500975,1
6,1.845,215.997,25.504,0.169161879,0.000843094,0.028968252,1
7,1.588,567.556,17.316,0.136078561,0.000618655,0.025509749,1
8,1.881,201.82,25.728,0.382459842,0.000495255,0.022896328,1
9,1.61,697.682,15.571,0.538435931,0.000550951,0.023516405,1
10,1.647,691.996,15.798,0.053480257,0.000900031,0.030790682,1
11,1.573,1248.83,12.951,0.449820793,0.00089382,0.032466505,1
12,1.778,467.183,19.231,0.01942813,0.000848477,0.028481719,1
13,2.065,121.424,32.394,0.286524203,0.000403948,0.020221694,1
14,1.755,518.081,19.561,0.221483286,0.000477035,0.022563852,1
15,1.832,530.687,19.25,0.523084563,0.000657787,0.026652892,1
16,1.786,219.753,24.572,-0.006274545,0.000453432,0.02149716,1
17,1.814,454.13,19.816,0.46317409,0.000825288,0.02941157,1
18,2.119,97.654,35.39,0.121092002,0.000389455,0.020041714,1
19,1.875,375.63,23.142,0.537570543,0.00043045,0.021054373,1
20,1.93,265.346,26.074,0.057663708,0.00051803,0.022950521,1
21,1.886,791.035,18.079,0.182338157,0.00043956,0.02079712,1
22,1.788,484.981,19.575,0.645986606,0.000755513,0.027335526,1
23,1.71,551.51,17.681,-0.03377772,0.001229235,0.033693266,1
24,1.778,455.771,20.71,0.105064126,0.000430243,0.021598052,1
25,1.643,610.784,16.463,0.401345584,0.000729632,0.025976233,1
26,1.776,324.63,21.942,0.727741391,0.000526105,0.022819335,1
27,1.953,227.796,26.209,0.267645951,0.000441423,0.021196485,1
28,2.083,122.631,32.45,0.250798526,0.000395459,0.019989993,1
29,1.822,292.233,22.673,0.053326587,0.000462749,0.021959312,1
30,1.884,152.066,28.276,0.101291951,0.000497119,0.023321905,1
31,1.718,251.943,23.407,0.23844378,0.000742883,0.026869523,1
32,2.086,117.896,34.064,0.109044016,0.000458608,0.021337651,1
33,2.005,230.916,27.636,0.014382012,0.000437489,0.021284215,1
34,1.863,409.143,22.432,0.161159737,0.000455295,0.021240396,1
35,1.838,209.676,24.91,0.516656822,0.0004613,0.021578871,1
36,1.874,242.312,25.651,-0.053072397,0.00051596,0.022586781,1
37,1.728,624.238,16.966,0.048995251,0.000595673,0.024596544,1
38,1.969,197.327,27.276,0.222741556,0.000520722,0.023281921,1
39,1.688,369.614,21.118,0.414046498,0.000431485,0.020334009,1
40,2.002,251.747,26.997,0.056804513,0.000456952,0.021569274,1
41,1.738,610.349,19.011,0.348846541,0.000656545,0.026308869,1
42,1.721,380.494,20.009,0.086624167,0.000569378,0.026127236,1
43,1.776,514.048,18.247,0.359802289,0.00100107,0.032840606,1
44,1.838,228.614,25.092,0.242826711,0.000565237,0.024274564,1
45,1.955,244.076,26.321,0.053103581,0.000448049,0.020445708,1
46,1.872,189.408,27.051,0.319700321,0.000456331,0.021688931,1
47,2.091,145.096,31.666,0.114298972,0.000413472,0.02031873,1
48,1.959,206.06,27.101,0.579381741,0.000465648,0.021463424,1
49,1.849,229.207,24.706,0.24736137,0.000451361,0.021530843,1
50,1.996,139.966,30.575,0.384683123,0.000393181,0.020334009,1
51,1.9,213.672,25.881,0.032412662,0.000693813,0.026540014,1
52,1.701,629.179,16.844,0.352038186,0.000590704,0.024180559,1
53,1.759,361.518,21.742,0.204739,0.000629007,0.025679627,1
54,1.931,210.982,27.362,0.010789936,0.000425067,0.020826966,1
55,1.887,248.737,24.368,0.39469458,0.000617206,0.024947583,1
56,1.672,830.415,15.812,-0.090005793,0.000544325,0.023634965,1
57,1.909,203.335,26.69,0.33701598,0.000397322,0.02061212,1
58,1.78,396.878,19.359,0.191864019,0.000556541,0.024253231,1
59,1.922,164.934,27.698,0.302221058,0.000653025,0.026237945,1
60,1.904,228.883,25.089,0.188666424,0.000414507,0.019544842,1
61,1.921,279.056,24.997,0.002756657,0.000613893,0.024955881,1
62,1.856,519.282,19.486,0.320354107,0.000576832,0.023783422,1
63,1.873,364.254,22.949,0.250017238,0.000452397,0.021274486,1
